Percentage served,Time in ms
0,6.722
1,7.330
2,7.531
3,7.572
4,7.613
5,7.669
6,7.696
7,7.733
8,7.773
9,7.800
10,7.830
11,7.859
12,7.886
13,7.918
14,7.947
15,7.959
16,7.987
17,8.004
18,8.022
19,8.049
20,8.060
21,8.076
22,8.098
23,8.118
24,8.138
25,8.160
26,8.180
27,8.193
28,8.222
29,8.239
30,8.258
31,8.276
32,8.302
33,8.323
34,8.337
35,8.347
36,8.371
37,8.388
38,8.404
39,8.423
40,8.438
41,8.460
42,8.501
43,8.514
44,8.523
45,8.545
46,8.559
47,8.595
48,8.606
49,8.616
50,8.648
51,8.688
52,8.695
53,8.710
54,8.718
55,8.746
56,8.761
57,8.777
58,8.808
59,8.838
60,8.852
61,8.890
62,8.908
63,8.940
64,8.961
65,8.983
66,9.016
67,9.047
68,9.078
69,9.109
70,9.146
71,9.188
72,9.237
73,9.290
74,9.368
75,9.416
76,9.488
77,9.525
78,9.583
79,9.649
80,9.713
81,9.831
82,10.062
83,10.182
84,10.395
85,10.619
86,10.841
87,11.343
88,11.673
89,12.305
90,13.551
91,14.577
92,18.150
93,21.034
94,23.908
95,25.475
96,29.493
97,30.661
98,33.947
99,40.894
100,85.905
