Percentage served,Time in ms
0,17.628
1,124.198
2,145.919
3,155.990
4,158.761
5,160.118
6,161.473
7,162.402
8,163.260
9,163.932
10,164.506
11,165.076
12,165.518
13,165.950
14,166.362
15,166.851
16,167.217
17,167.645
18,167.966
19,168.354
20,168.684
21,169.035
22,169.355
23,169.654
24,169.902
25,170.265
26,170.538
27,170.775
28,171.012
29,171.297
30,171.591
31,171.899
32,172.161
33,172.388
34,172.670
35,172.911
36,173.162
37,173.376
38,173.635
39,173.890
40,174.141
41,174.365
42,174.601
43,174.839
44,175.078
45,175.288
46,175.515
47,175.747
48,175.977
49,176.197
50,176.431
51,176.698
52,176.919
53,177.130
54,177.358
55,177.590
56,177.838
57,178.081
58,178.294
59,178.522
60,178.825
61,179.110
62,179.426
63,179.715
64,179.978
65,180.305
66,180.625
67,180.966
68,181.351
69,181.682
70,182.087
71,182.553
72,182.993
73,183.488
74,184.016
75,184.579
76,185.254
77,186.011
78,186.994
79,188.082
80,189.640
81,193.179
82,202.305
83,211.150
84,219.600
85,229.808
86,247.611
87,320.197
88,419.946
89,513.104
90,532.179
91,540.923
92,549.520
93,564.344
94,579.393
95,606.283
96,667.960
97,759.356
98,1162.608
99,1221.905
100,15096.487
