Percentage served,Time in ms
0,7.059
1,7.596
2,8.016
3,8.020
4,8.239
5,8.564
6,8.678
7,8.737
8,9.261
9,9.360
10,9.471
11,9.965
12,10.058
13,10.575
14,11.057
15,12.082
16,12.485
17,14.160
18,20.343
19,22.806
20,29.335
21,109.409
22,115.832
23,118.417
24,118.466
25,120.531
26,123.001
27,123.978
28,124.951
29,126.178
30,131.502
31,133.020
32,134.765
33,135.688
34,135.706
35,136.182
36,137.771
37,138.516
38,138.893
39,139.178
40,139.992
41,140.202
42,141.254
43,142.095
44,143.480
45,144.597
46,145.011
47,145.102
48,145.192
49,145.637
50,146.383
51,147.120
52,148.942
53,149.105
54,149.790
55,150.703
56,153.495
57,155.257
58,161.374
59,162.249
60,163.377
61,163.392
62,164.145
63,165.410
64,165.542
65,166.282
66,166.760
67,166.988
68,167.299
69,167.331
70,167.366
71,167.470
72,167.555
73,167.749
74,167.793
75,168.142
76,168.464
77,168.584
78,168.692
79,168.751
80,168.881
81,169.560
82,169.883
83,169.902
84,170.065
85,170.398
86,170.619
87,171.024
88,171.294
89,171.502
90,171.570
91,172.657
92,172.872
93,174.254
94,175.644
95,180.590
96,187.087
97,204.680
98,217.420
99,221.735
100,221.735
